Timestamp,Escribe las iniciales de tu nombre,Sexo,Edad,Vinculo con la Universidad de Antioquia,¿Reconoces esto?,¿Conoce algún uso de la planta mostrada anteriormente?,¿Reconoces esto?,¿Conoce algún uso de la planta mostrada anteriormente?,¿Reconoces esto? ,¿Conoce algún uso de la planta mostrada anteriormente?,¿Reconoces esto?,¿Conoce algún uso de la planta mostrada anteriormente?,¿Reconoces esto?,¿Conoce algún uso de la planta mostrada anteriormente?,¿Reconoces el fruto de esta planta?,¿Conoce algún uso de la planta mostrada anteriormente?,¿Reconoces esto?,¿Conoce algún uso de la planta mostrada anteriormente?,¿Reconoces esto?,¿Conoce algún uso de la planta mostrada anteriormente?
15/09/2024 18:11:22,MBF,Femenino,22,Estudiante,No,,Si,"Sopas o guisos, Fritos",Si,Bebidas,Si,"Ensalada, Sopas o guisos, Salsas o condimentos",Si,"Ensalada, Sopas o guisos, Salsas o condimentos",Si,,Si,,No,
15/09/2024 18:13:33,JFPM,Masculino,28,Estudiante,Si,Sopas o guisos,Si,Sopas o guisos,No,,Si,"Ensalada, Sopas o guisos",Si,"Ensalada, Sopas o guisos",Si,,Si,Sopas o guisos,Si,Sopas o guisos
15/09/2024 18:20:23,JR,Femenino,32,Estudiante,No,,Si,"Sopas o guisos, Harinas y masas",Si,"Bebidas, Postre o dulce",Si,"Ensalada, Bebidas, Harinas y masas, Salsas o condimentos",Si,"Ensalada, Sopas o guisos",Si,,Si,"Ensalada, Sopas o guisos, Salsas o condimentos",Si,Sopas o guisos
15/09/2024 18:25:48,VF,Femenino,22,Estudiante,Si,"Ensalada, Sopas o guisos, Harinas y masas",Si,"Ensalada, Sopas o guisos, Harinas y masas",Si,"Bebidas, Postre o dulce",Si,"Ensalada, Sopas o guisos, Salsas o condimentos",Si,Ensalada,Si,Postre o dulce,Si,"Sopas o guisos, Harinas y masas",No,Sopas o guisos
16/09/2024 11:22:04,JSMS,Masculino,32,Profesor,No,,Sí,"Ensalada, Sopas o guisos, Bebidas, Harinas y masas, Salsas o condimentos, Postre o dulce",No,,Sí,"Ensalada, Sopas o guisos, Salsas o condimentos",No,,Sí,,Sí,Sopas o guisos,Sí,Sopas o guisos
16/09/2024 11:28:01,JTT,Femenino,34,Profesor,Sí,"Ensalada, Sopas o guisos, Harinas y masas, Fritos",Sí,"Ensalada, Harinas y masas, Frituras",Sí,"Bebidas, Salsas o condimentos, Postre o dulce",Sí,"Ensalada, Sopas o guisos, Salsas o condimentos",Sí,"Ensalada, Sopas o guisos, Salsas o condimentos",Sí,Se que hay personas que comen el fruto y también que las hojas se usan como ornamental,Sí,"Sopas o guisos, Harinas y masas, Salsas o condimentos",Sí,"Sopas o guisos, Harinas y masas, Salsas o condimentos"
16/09/2024 11:29:01,LSMF,Femenino,33,Estudiante,Sí,Sopas o guisos,Sí,"Sopas o guisos, Harinas y masas",Sí,"Bebidas, Postre o dulce",Sí,"Ensalada, Sopas o guisos, Salsas o condimentos",Sí,"Ensalada, Sopas o guisos, Salsas o condimentos",Sí,"Harinas y masas, Ornamental",Sí,Sopas o guisos,Sí,Sopas o guisos
17/09/2024 10:01:20,NAMN,Femenino,22,Estudiante,No,,Sí,"Sopas o guisos, Fritos",Sí,"Ensalada, Postre o dulce",Sí,"Ensalada, Sopas o guisos, Salsas o condimentos",Sí,"Ensalada, Sopas o guisos, Salsas o condimentos",Sí,Ornamental ,Sí,Sopas o guisos,Sí,Sopas o guisos
17/09/2024 11:01:54,FACN,Masculino,53,Administrativo,Sí,"Sopas o guisos, Salsas o condimentos, Fritos",Sí,"Sopas o guisos, Harinas y masas, Fritos",Sí,"Ensalada, Bebidas, Postre o dulce",Sí,"Ensalada, Sopas o guisos, Bebidas, Salsas o condimentos",Sí,"Ensalada, Bebidas, Postre o dulce",Sí,,Sí,Sopas o guisos,Sí,"Sopas o guisos, Harinas y masas"
17/09/2024 11:50:25,MHR,Femenino,30,Administrativo,Sí,Sopas o guisos,Sí,"Sopas o guisos, Fritos",Sí,Postre o dulce,Sí,"Ensalada, Sopas o guisos",Sí,Ensalada,Sí,Postre o dulce,Sí,Sopas o guisos,Sí,Sopas o guisos
17/09/2024 12:15:17,LFGV,Femenino,25,Estudiante,No,,Sí,"Sopas o guisos, Harinas y masas, Fritos",Sí,"Bebidas, Postre o dulce",Sí,"Ensalada, Sopas o guisos, Salsas o condimentos",Sí,Ensalada,No,,Sí,"Sopas o guisos, Postre o dulce",No,
17/09/2024 13:21:39,MGR,Femenino,23,Estudiante,No,,Sí,"Sopas o guisos, Fritos",Sí,Postre o dulce,Sí,"Ensalada, Sopas o guisos, Salsas o condimentos, Horneado, deshidratado ",Sí,Ensalada,Sí,Snack,Sí,"Ensalada, Sopas o guisos",Sí,Sopas o guisos
17/09/2024 13:27:11,SMB,Femenino,20,Estudiante,No,,Sí,"Sopas o guisos, Fritos",No,,Sí,"Ensalada, Sopas o guisos, Salsas o condimentos",No,,No,,Sí,Sopas o guisos,Sí,Salsas o condimentos
17/09/2024 14:18:49,SGV,Masculino,17,Estudiante,No,,Sí,"Sopas o guisos, Harinas y masas, Postre o dulce, Fritos",Sí,"Ensalada, Bebidas, Salsas o condimentos, Postre o dulce",Sí,"Ensalada, Sopas o guisos, Salsas o condimentos",No,,Sí,"Ensalada, Sopas o guisos",Sí,"Sopas o guisos, Harinas y masas",Sí,"Sopas o guisos, Harinas y masas"
17/09/2024 15:29:48,SGU,Femenino,22,Estudiante,Sí,Sopas o guisos,Sí,"Ensalada, Sopas o guisos, Fritos",Sí,"Salsas o condimentos, Postre o dulce",Sí,"Ensalada, Sopas o guisos, Salsas o condimentos",Sí,"Ensalada, Salsas o condimentos",Sí,Postre o dulce,Sí,"Sopas o guisos, Harinas y masas",Sí,Sopas o guisos
17/09/2024 17:46:05,LDHG,Masculino,25,Estudiante,Sí,Sopas o guisos,Sí,"Sopas o guisos, Harinas y masas, Fritos",No,,Sí,"Ensalada, Sopas o guisos, Salsas o condimentos",No,,Sí,Postre o dulce,Sí,"Sopas o guisos, Salsas o condimentos",Sí,Sopas o guisos
19/09/2024 08:55:17,SJMT,Masculino,17,Estudiante,No,,Sí,"Ensalada, Sopas o guisos, Salsas o condimentos, Fritos",Sí,"Ensalada, Bebidas, Salsas o condimentos, Postre o dulce",Sí,"Ensalada, Sopas o guisos, Bebidas, Salsas o condimentos, Fritos",Sí,"Ensalada, Bebidas, Salsas o condimentos, Postre o dulce",Sí,"Sopas o guisos, Harinas y masas",Sí,"Ensalada, Sopas o guisos, Salsas o condimentos, Fritos",Sí,"Ensalada, Sopas o guisos, Salsas o condimentos, Fritos"